natural_command,bash_command
check if myfile has 0644 permissions,find myfile -perm 0644 -print
List all regular files in and below the home directory that have been modified in the last 90 minutes,find ~ -type f -mmin -90 | xargs ls -l
Find all symbolic links containing 'vim' in their names uder '/usr/bin' directory tree,find /usr/bin -name '*vim*' -type l
"Find all *conf* files recursively under current directory, search for any lines matching the string 'matching_text' in those files and redirect the output to matching_text.conf.list",find . -name *conf* -exec grep -Hni 'matching_text' {} \; > matching_text.conf.list
find all of the executable files on your computer,find / -executable
Check if a specific file exists and has been modified in the last 24 hours.,"#!/bin/bash

file=""/path/to/file""

if [ -e ""$file"" ] && [ $(find ""$file"" -mtime -1 | wc -l) -gt 0 ]; then
    echo ""$file has been modified in the last 24 hours""
else
    echo ""$file does not exist or has not been modified in the last 24 hours""
fi"
"Print the paths of all files in the current directory tree that contain ""abc"" replacing ""abc"" with ""xyz""",find . |xargs grep abc | sed 's/abc/xyz/g'
Find files/directories named 'foo.bar' in the root filesystem partition,find / -name foo.bar -print -xdev
Find recursively the latest modified file in the current directory,"find . -type f -printf '%T@ %p\n' | sort -n | tail -1 | cut -f2- -d"" "" | sed 's/.*/""&""/' | xargs ls -l"
Remove all empty regular files under the current directory and below,find ./ -type f -empty -print0 | xargs -0 rm
Find all the regular files under $DIR directory tree which have been modified before the file $a excluding the file $a and delete them,"find ""$DIR"" -type f \! -newer ""$a"" \! -samefile ""$a"" -exec rm {} +"
List all files from the current directory tree that were modified less than 60 minutes ago,find . -mmin -60 | xargs -r ls -l
"Print newline, word, and byte counts of each '*.java' file within current directory, and total newline, word, and byte counts",find . -name \*.java | tr '\n' '\0' | xargs -0 wc
replace the word apple with orange in all the files in the current folder,find ./ -exec sed -i 's/apple/orange/g' {} \;
Convert multiple *.jpg files from JPEG to PDF format,find /path/to/files -iname '*.jpg' -exec mogrify -format pdf {} +
"Search the regular files from directory tree 'folder_name' for ""your_text""",find folder_name -type f -exec grep your_text  {} \;
Find files/directories in entire file system that were modified a day ago,find / -mtime 1
Count the number of characters in the list of regular files from the current directory tree,find . -type f | xargs | wc -c
display all the text files in the current folder except readme files,"find . -type f -name ""*.txt"" ! -name README.txt -print"
Find regular non-hidden files containing `some text' in their names with hidden directories optimization,find . -type d -path '*/\.*' -prune -o -not -name '.*' -type f -name '*some text*' -print
"Search the current directory recursively for regular files, skipping hidden files in the current directory",find * -type f -print
find all the jpg files in current folder and sort them,"find . -type f|grep -i ""\.jpg$"" |sort"
Print a listing of the /usr/local/etc/rc.d directory tree,find /usr/local/etc/rc.d -type f | awk -F/ '{print $NF}'
"find all files under the current directory that end in ""foo"" and, using xargs, execute somecommand once for each filename found",find . -name '*.foo' -print0 | xargs -0 -n 1 somecommand
List all hidden files under present working directory and redirect the list to all-hidden-files.txt,"find `pwd` -iname "".*"" -type f > all-hidden-files.txt"
Look for files with wide open permissions,find . -type f  -perm 777 -exec ls -l {} \;
Find regular files modified within the last ten minutes under /etc,find /etc -type f -mmin -10
"Change permissions to u=rwx,g=rx,o= for all directories inside the current directory tree","find . -type d -exec chmod u=rwx,g=rx,o= '{}' \;"
"Find all regular files with permissions 777 under and below /home/user/demo/, and change their permissions to 755",find /home/user/demo -type f -perm 777 -print -exec chmod 755 {} \;
List the files from the current directory tree that contain lines matching regular expression  '^Subject:.*unique subject',find . -type f -print0 | xargs -0 grep -il '^Subject:.*unique subject'
Find all *FooBar* files/directories under current directory and copy them to ~/foo/bar,find -name '*FooBar*' -print0 | xargs -0 cp -t ~/foo/bar
"Find ""*prefs copy"" files in the /mnt/zip directory tree and remove them with prompting","find /mnt/zip -name ""*prefs copy"" -print0 | xargs -p rm"
display long listing of all the text files in the current folder and then execute the script myScript.sh by passing the output of previous exec as input,"find . -name ""*.txt"" -exec ls -la {} \; -exec ./myScript.sh {} \;"
"display all the regular files in the current folder excluding those that are present in the path ""git""","find . -path ""*.git"" -prune -o -type f -print"
"Find all leaf directories that include only one occurrence of ""modules""",find -regex '.*/modules\(/.*\|$\)' \! -regex '.*/modules/.*/modules\(/.*\|$\)' -type d -links 2
"Search three folders named foo, bar, and baz for all ""*.rb"" files","find foo bar baz -name ""*.rb"""
"find the file ""fluidpoint"" in the file system and discard all the errors",find / -name fluidpoint 2> /dev/null
find  files which full path name is /tmpfoo/bar under /tmp/foo directory and print,find /tmp/foo -path /tmp/foo/bar -print /tmp/foo/bar
Remove all *.log files from the current directory tree,find ./ -name '*.log' -print0 | xargs -0 rm
"Find all *.txt files under the current directory whose names are not ""File.txt""",find . -maxdepth 1 -type f -regex '.*\.txt' -not -name File.txt
Find all files/directories with '.err' extension under '/home/username' directory tree,"find /home/username/ -name ""*.err"""
Delete all directories under '.cache/chromium/Default/Cache/' directory tree that are bigger than 100MB and are at least 1 level deep,find .cache/chromium/Default/Cache/ -mindepth 1 -type d -size +100M -exec rm -rf {} \;
search for the word error in all the xml files in the current folder,"find . -name ""*.xml"" -exec grep ""ERROR"" /dev/null '{}' \+"
List recursively all files and directories in /var/www,find /var/www
Find all files/directories owned by user 'michel' under current directory,find -user michel
Find all the files which are greater than 50MB but less than 100MB in size,find / -size +50M -size -100M
Find all files/directories under current directory tree that have modified in the last 2 days and contain 'blah'  in their names,find . -iname '*blah*' \ -mtime -2
"Search the current directory tree for .rb files ignoring the ""./vendor"" subdirectory","find . -name '*.rb' ! -wholename ""./vendor/*"" -print"
Create a bzip2 archive of all .log files from the /var/log directory tree,find /var/log -name '*.log' | tar cv --files-from=- | bzip2 > log.tar.bz2
Search for all .mp3 files in the /mnt/usb directory tree,"find /mnt/usb -name  ""*.mp3"" -print"
Find all files/directories named 'top' in the entire filesystem,find / -name top
"create symbolic links in current directory to all files located in directory ""/original"" and have filename extension "".processname""",find /original -name '*.processme' -exec echo ln -s '{}' . \;
Find all build* directories under current directory and reverse sort them,"find . -type d -name ""build*"" | sort -r"
Find files/directories under current directory and print them,find . -print0 | xargs    -0 echo
"Prints $m latest modified files within the $d folder, using $f format for printing timestamp.","find ""$d"" -type f -printf ""%T@ :$f %p\n"" | sort -nr | cut -d: -f2- | head -n""$m"""
Find all files/directories named 'pattern' under current directory tree,"find . -name ""pattern"" -print"
replace the word foo to bar in all the regular/normal files in the current folder (does not update the file),find . -type f -exec sed -i 's/foo/bar/g' {} +
display list of all the regular/normal files in the home folder which are exactly 6579 bytes,find /home/ -type f -size 6579c -exec ls {} \;
Count the number of .gz files in the current directory tree,"find -name ""*.gz"" | wc -l"
find all the text files present in the current directory excluding the search in certain paths.,"find . -type f -name ""*.txt"" ! -path ""./Movies/*"" ! -path ""./Downloads/*"" ! -path ""./Music/*"""
Find all regular files with 400 permission under '/data' directory tree,find /data -type f -perm 400 -print
Find all files newer than httpd.conf under and below the current directory,find . -newer httpd.conf
Find *.html files in the current directory tree that were modified 7 days ago,"find . -mtime 7 -name ""*.html"" -print"
find all files in the folder /etc which have been modified after /tmp/foo,find /etc -newer /tmp/foo
display all directories in current folder and do not search in sub directories,find . -maxdepth 1 -mindepth 1 -type d
Find all files under /mnt/naspath directory without descending into .snapshot directory that were modified in last 24 hours with null character as the delimiter,find /mnt/naspath \! \(-name .snapshot -prune\) -type f -mtime 0 -print0
"display all files in current folder excluding those that have the word ""git"" in their name and display files that have git in their path names",find . ! -name '*git*' | grep git
Find all files with '.conf' extension under '/etc' directory tree that have been modified in the last 30 minutes,"find /etc -name ""*.conf"" -mmin -30"
Find all *.txt file (case insensitive) in the entire system and copy them to /tmp/txt,find / -iname '*.txt' | xargs --replace=@ cp @ /tmp/txt
Remove all vmware-*.log files under current directory,find . -name vmware-*.log | xargs rm
Find which ruby files under current directory contain the string 'jump',find . -name '*.rb' -exec grep -H jump {} \;
"Set the permissions of all directories inside the current directory tree to u=rwx,g=rx,o=x","find . -type d -exec chmod u=rwx,g=rx,o=x {} \;"
Find all files in the home directory tree that are owned by another user and change their ownership to the current user,"find ~ ! -user $USER -exec sudo chown ${USER}:""{}"" \;"
"display all directories in the folder ""PROD"" and do not search in the sub directories",find /PROD -maxdepth 1 -type d
Search for 'mystring' in all *.txt files under current directory,"find . -name ""*.txt"" -print0 | xargs -0 egrep mystring"
Find all files/directories named 'text' under current directory,"find -name ""text"""
Remove all *.mp3 files in tmp directory but not in it's subdirectories,find tmp -maxdepth 1 -name '*.mp3' -maxdepth 1 | xargs    rm
Find all files excluding *.gz files in the current directory tree and compress them with gzip,"find . -type f ! -name '*.gz' -exec gzip ""{}"" \;"
Compress in parallel regular files in the current directory tree that were last modified more than 7 days ago,find . -type f  -mtime +7 | tee compressedP.list | xargs -I{} -P10 compress {} &
display all the files in the current folder,find .
"Print the list of regular files from the current directory that were last modified on November, 22","find . -maxdepth 1 -type f -newermt ""Nov 22"" \! -newermt ""Nov 23"" -exec echo {} +"
Find writable files in the current directory tree,find . -writable
Find all symbolic links under '/some/directory' driectory tree,find /some/directory -type l -print
"find all the files in the file system which belong to the user ""pat"" and with the name ""dateiname""","find / -user pat -iname ""Dateiname"""
Back up all *.txt files/directories in new files/directories with a .bak extension in their names under /etc directory,"find /etc -print0 -name ""*.txt"" | xargs -I {} -0 mv {} {}.bak"
Make all regular files in the current directory tree world-readable,find . -type f -print0 | xargs -0 chmod go+r
Find all *.htm files under current directory and print the changed names by appending 3 levels of parent directory names at the beginning and modifying the actual name to dd-nnn format,"find -type f -name ""*.htm"" | sed 's@^./@@g;s@/@-@g' | awk -F'-' '{print $1 ""-"" $2 ""-"" $3 ""-"" substr($4, 5, 2) ""-"" $5}'"
Find all status.c files in the current directory tree and show stat's information on them,"find . -name status.c -exec stat --format ""%A %s %x %n"" {} \;"
find all the files in the home folder which are less than 42 Bytes,find / -size 42
Find directories modified within the last 7 days,find . -mtime -7 -type d
search for text files in the current folder which have write access to others,"find . -type f \( -iname ""*.txt"" -and -perm -o=w \)"
find all the text files in current folder and change the extension of these files and move them to another folder,"find . -name ""*.txt"" | parallel 'ext=""{/}"" ; mv -- {} foo/{/.}.bar.${ext##*.}'"
find all js files under the build direcotry except build/external directory.,find build -not \ -name \*.js
delete all the broken symbolic links from the folder /usr/ports/packages,find -L /usr/ports/packages -type l -exec rm -- {} +
List files greater than 1024KB under /path/to/directory and print the time and size on stdout,"find /path/to/directory -type f -size +1024k -exec ls -lh {} \; | awk '{ print $8 "": "" $5 }'"
"Search the current directory tree for files whose name is "".note"", case insensitive",find -type d -exec find {} -maxdepth 1 \! -type d -iname '.note' \;
"search for the word ""put"" in all the files in the current folder which have the word ""bills"" in their name and display the matched line along with the filename.","find . -name '*bills*' -exec grep -H ""put"" {} \;"
"Search the directories matching pattern ""/path/to/some/dir/*[0-9]"" for level 1 subdirectories",find /path/to/some/dir/*[0-9] -type d -maxdepth 1
find all regular files  then display the number of occurrences of banana without lines not proper end,"find . -type f -print0| xargs -0 grep -c banana| grep -v "":0$"""
display all text files in the current folder,"find . -type f -name ""*.txt"""
find all hidden files in the current folder which have been modified after profile file,"find . -type f -name "".*"" -newer .cshrc -print"
Find the largest 10 files (regular files) under current directory,find . -type f -print0 | xargs -0 du | sort -n | tail -10 | cut -f2 | xargs -I{} du -sh {}
search for php files  in current directory and search for a word in all these files,"find -name '*.php' -exec grep -iq ""fincken"" {} \; -exec grep -iq ""TODO"" {} \; -print"
"Find all "".gz"" files in directory tree ""files/"" and use a count and the filename as arguments to ""...""","find files/ -name ""*.gz"" | nl -n rz | sed -e 's/\t/\n/' | xargs --max-args 2 ..."
find all the foo.txt files in the current folder and move them to another directory,"find . -name ""foo.txt"" | awk '{ print ""mv ""$0"" ~/bar/"" | ""sh"" }'"
Find all empty folders in the current directory and below,find . -type d -empty
"Find symbolic links in /usr/lib and /usr/lib64 to files whose pathnames contain ""libstdc++""","find  /usr/lib/ /usr/lib64/ -lname ""*libstdc++*"""
"Remove all files with names like ""vmware-*.log"" from the current directory tree",find . -name vmware-*.log | xargs rm
Find all files named 'file' in 1 level down the current directory whose status were changed more than 1 hour ago,find . -maxdepth 1 -cmin +60 -name file
Find all files/directories under /var/www/some/subset and change their owner and group to www-data,sudo find /var/www/some/subset -print0 | xargs -0 chown www-data:www-data
delete all the empty file in the file system after user confirmation,find / -size 0 -ok rm { } \;
"Find all regular files residing in the current directory tree and search them for string ""/bin/ksh""",find . -type f -print | xargs grep -i 'bin/ksh'
Find all files/directories under current directory that were accessed less than 1 day ago,find . -atime -1 -print
"search for the word ""foo"" in all the regular/normal files with the name ""file-pattern"" in the directory ""/path/to/dir""","find /path/to/dir/ -type f -name ""file-pattern"" -print0 | xargs -I {} -0 grep -l ""foo"" ""{}"""
Find all *blue* files/directories under /myfiles,find /myfiles -name '*blue*'
Find all files under current directory matching the posix-egrep type regex '^.*/[a-z][^/]*$' in their names with locale set to default C locale,LC_ALL=C find . -regextype posix-egrep -regex '^.*/[a-z][^/]*$' -type f
Find all *.txt files/directories under current directory and execute process once with all of them as arguments,find . -name \*.txt -exec process {} +
find all the html files which are modified in the last 7 days,"find . -mtime -7 -name ""*.html"""
find files in home directory that accessed more than 100 days ago,find ~ -atime 100
"Print all unique directory paths under ""dir1"" compared to ""dir2""",comm -23 <(find dir1 -type d | sed 's/dir1/\//'| sort) <(find dir2 -type d | sed 's/dir2/\//'| sort) | sed 's/^\//dir1/'
Find and the 5 largest regular files in the Downloads folder of tecmint's home directory and output the file sizes in bytes.,"find /home/tecmint/Downloads/ -type f -printf ""%s %p\n"" | sort -rn | head -n 5"
Search for all files with same inode NUM,find . -inum NUM
display all the directories in the folder /var and do not go beyond 2 levels during search,find /var -maxdepth 2 -type d;
Print a sorted list of all .jpg files in the current directory and below,find -name '*.jpg' | sort -n
find all files in the entire file system whose size is more than 100MB,find / -size +100M
Display a long listing of all the regular files under current directory tree that are newer than ‘Apr 18 23:59:59 EDT 2013’ and older than ‘Apr 20 00:00:00 EDT 2013’ by modification time,find . -type f -newermt ‘Apr 18 23:59:59 EDT 2013’ ! -newermt ‘Apr 20 00:00:00 EDT 2013’ -exec ls -l ‘{}’ \;
compresses all the files in the current folder with default depth,find . -depth -print | cpio -dump /backup
"Search the system for directories named ""needle""","find / -type d -name ""needle"""
Search the current directory and all subdirectories for files that have 777 permissions and the permissions to 755,find . -type f -perm 777 -exec chmod 755 {} \;
Find all the files in entire file system  which are accessed 50 days back,find / -atime 50
Find files with group write permission and remove the permission,find . -perm -20 -print | xargs chmod g-w
Find all the SGID bit files whose permissions set to 644,find / -perm 2644
Remove all regular non-hidden files modified more than 7 days ago and residing in the /tmp directory tree,find /tmp -type f -name '*' -mtime +7 -print0 | xargs -0 rm -f
display all the soft links in a  folder which are not broken,find -L /target ! -type l
"Find all 1.txt, 2.txt and 3.txt files under current directory and change the permission to 444",find . \ -print|xargs chmod 444
"Findx all files having text ""texthere"" recursively in a current folder, and prints only file names with matching strings.","find -type f -exec grep -l ""texthere"" {} +"
Find all *.mpg  files under current directory and run an ffmpeg command on each of them,"find . -name ""*.mpg"" -type f -print0 | xargs -0 -I {} -n 1 -P 4 ffmpeg -i {} {}.mp4"
Add read permission for 'other' for all files/directories named 'rc.conf' under current directory tree,"find . -name ""rc.conf"" -exec chmod o+r '{}' \;"
Print the names of all files in the home directory and its subdirectories recursively whose MIME type is video,find ~ -type f -exec file -i {} + | grep video
Find all xx* files/directories excluding 'xxx' files/directories under your home directory,find ~ -name 'xx*' -and -not -name 'xxx'
find all files in current folder which are bigger than 270MB and less than 300MB,find . -size +270M -size -300M
display all the files in the folder a,find a
display the contents of all the regular files in the current folder and save the output to out.txt,find . -type f -print0 | xargs -0 cat > out.txt
"find all c, cpp files in current folder",find -regex '.*\.\(c\|cpp\)'
Find all *.tex regular files in maximum 2 levels down the current directory,"find . -type f -maxdepth 2 -name ""*.tex"""
find all the regular/normal files in the /path folder and delete them,find /path -type f -exec rm '{}' \;
"Create a symbolic link in directory ""new"" for each file in ""original"" directory tree",find original -type f -exec ln -s {} new/{} \;
list all the drectories present in the current directory and do not search in the sub directories.,find -maxdepth 1 -type d
display a long listing of all regular files  in current folder which have been modified in the last 60 minutes,find . -mmin -60 -type f -exec ls -l {} \;
"change the group to ""new_group"" and permissions to 770 for all the files in the current folder, $0 is the input to the sub shell i.e, the name of the file","find . -name ""*"" -exec sh -c 'chgrp -v new_group ""$0"" ; chmod -v 770 ""$0""' {} \;"
display all the regular/normal files in the current folder that are not accessed in the last 10 minutes,find . -type f -amin +10
List all files under the current working directory last modified less than a day ago,find `pwd` -mtime -1 -type f -print
"Find all TXT files in the current directory and copy them to directory ""$HOME/newdir""","find ""$HOME"" -name '*.txt' -type f -print0 | xargs -0 cp -ut ""$HOME/newdir"""
display a long listing of all the xls or csv files in the entire file system,find / -type f \ -exec ls -l {} \;
display the amount of disk space used by all the log files in the folder /usr/local/apache/logs/,"find /usr/local/apache/logs/ -type f -name ""*_log""|xargs du -csh"
Find all files whose names begin with 'Makefile' in the /usr/ports directory tree and count how many of them contain 'QTDIR',find /usr/ports/ -name Makefile\* -exec grep -l QTDIR '{}' '+' | wc -l
Remove all vmware-*.log files under current directory,find . -name vmware-*.log -delete
Find files on the system that are bigger than 20 megabytes,"find / -type f -size +20M -exec ls -lh {} \; | awk '{ print $NF "": "" $5 }'"
List all files in the current directory tree including those that may contain spaces in their names,"find . -print0 | xargs -0 -l -i echo ""{}"";"
Search for all jpg images on the system and archive them,find / -name *.jpg -type f -print | xargs tar -cvzf images.tar.gz
search for all the c files in the current folder,find . -name \*.c -print
Find directories with permissions 777 and change them to 755 recursively,find /home -type d -perm 777 -print -exec chmod 755 {} \;
Recursively removes all files and folders like 'FILE-TO-FIND' from current folder.,"find . -name ""FILE-TO-FIND"" -exec rm -rf {} \;"
Change the user and group of all files and directories under /var/www to www-data:www-data,find /var/www -print0 | xargs -0 chown www-data:www-data
Find all the files whose name is FindCommandExamples.txt in the current working directory,find /root -name FindCommandExamples.txt
Sort all directory names matching folder_* and go to the last one.,"cd $(find . -maxdepth 1 -type d -name ""folder_*"" | sort -t_ -k2 -n -r | head -1)"
Execute the `convert' command for every .jpg file in the current directory,find . -maxdepth 1 -name *.jpg -print -exec convert
Print the sizes and names of all TXT files from the current directory tree,"find . -iname ""*.txt"" -exec du -b {} +"
"Find all *.css files under $DIR and print the lines matching the regex '\.ExampleClass.{/,/}' from those files","find ${DIR} -type f -name ""*.css"" -exec sed -n '/\.ExampleClass.{/,/}/p' \{\} \+"
Find all .mp3 files with more then 10MB and delete them from root directory .,find /  -type f -name *.mp3 -size +10M -exec rm  {} \;
find all the files in the current folder which have been modified in the 10 minutes ago,find -mmin +15 -mmin -25
Save the list of all .py files under and below the current directory to output.txt,"find . -name ""*.py"" -type f > output.txt"
find all files in the current directory whose size is 24 or 25 bytes.,find . -size -26c -size +23c -print
Change the permission to 0755 for all directories under current directory,find . -type d -exec chmod 0755 {} \;
"search for files that are readable for everybody, have at least on write bit set but are not executable for anybody",find . -perm -444 -perm /222 ! -perm /111
Change the permissions of all regular files whose names end with .mp3 in the directory tree /var/ftp/mp3,find /var/ftp/mp3 -name '*.mp3' -type f -exec chmod 644 {} \;
"change the permissions of all the files ending with ""fits"" in the folder ""/store/01"" and save the output file names to a log file","find /store/01 -name ""*.fits"" -exec chmod -x+r {} \; -exec ls -l {} \; | tee ALL_FILES.LOG"
find all class files or sh script files  in the current folder,find . -type f \
display all the files  in the current folder which have colon in their name,"find . -name ""*:*"""
find all the php files in current folder and search for multiple patterns in these files,"find -name '*.php' -exec grep -li ""fincken"" {} + | xargs grep -l ""TODO"""
display all the empty files in current folder,find . -empty
display the contents of all the regular files in the current folder and save the output to out.txt,cat `find . -type f` > out.txt
Find all directories named 'local' in entire file system,find / -name local -type d
display a long list of all the files that are bigger than 10KB in current folder,find . -size +10k -exec ls -l {} \;
Find all regular files named 'whatever' under current directory tree excluding all paths that contain any hidden directory,"find . \ -type f -name ""whatever"""
"change owner of the files into directory ""/mydir"" with "".txt"" extension to user root","find /mydir -type f -name ""*.txt"" -print0 | xargs -0 chown root $(mktemp)"
check the type of files in the folder /usr/bin,find /usr/bin | xargs file
Search the entire file system for any file that is writable by other.,find / – perm -0002
Archive the directory structure under current directory into /somewhereelse/whatever-dirsonly.tar,find . -type d |xargs tar rf /somewhereelse/whatever-dirsonly.tar --no-recursion
List and see contents of all abc.def files under the directories /ghi and /jkl,find /ghi /jkl -type f -name abc.def 2> /dev/null -exec ls {} \; -exec cat {} \;
search for files cart4 or cart5 or cart6 in the folder junk which is in home folder and delete it.,find ~/junk  -name 'cart[4-6]' -exec rm {}  \;
display all the files in the current folder which have been modified in the last 24 hours,find . -mtime -1 -print
"find all the ogg files in the current directory which have the word ""monfichier"" in their name",find -name *monfichier*.ogg
"Copy file header.shtml to directories dir1, dir2, dir3, and dir4",find dir1 dir2 dir3 dir4 -type d -exec cp header.shtml {} \;
"Search *.x files from the current directory tree for string ""fred""",find . -name ‘*.x’ -print0 | xargs -0 grep fred
"Find all C source code files from the current directory tree that contain ""keyword"" in their pathnames, ignoring the case",find . -type f \ |grep -i “keyword”
find all files in the home folder which have been modified between 72 and 96 hours before,find ~ -mtime 2 -mtime -4 -daystart
Print all filenames under /proc and below,find /proc -exec ls '{}' \;
Find regular files named core under /tmp and delete them,find /tmp -name core -type f -print | xargs /bin/rm -f
change the permission of all the regular/normal files in the current folder from 777 to 755,find . -type f -perm 777 -exec chmod 755 {} \;
Remove all empty regular files under the current directory and below,find ./ -type f -empty -print0 | xargs -0 rm
"Recursively finds all ""*.pas"" and ""*.dfm"" files and prints strings with ""searchtext"" ignoring text distinctions, suppressing error messages, highlighting found patterns and preceding each found string with file name and string number.","find . -type f \ -print0 | xargs --null grep --with-filename --line-number --no-messages --color --ignore-case ""searchtext"""
find all the normal/regular files in the current folder which have been modified in the last day and display a long listing of them,find . -type f -mtime -1 -daystart -exec ls -l {} \;
"Create tar archive ""dirall.tar"" and copy all files from directory tree /tmp/a1 to it",find /tmp/a1 -exec tar -rvf dirall.tar {} \;
find all instances of a specific file in the current directory and discard all the errors.,"find . -name ""openssl"" 2>/dev/null"
List files larger than 10MB in the /var directory recursively,find /var/ -size +10M -ls
List all files under current directory with their sizes and paths,find . -type f -printf '%s %p\n'
Find all files/directories under current directory and print them,find . -print0 | xargs -I{} -0 echo {}
"Find all directories with permissions 777 under and below /var/www/html, and change their permissions to 755",find /var/www/html -type d -perm 777 -print -exec chmod 755 {} \;
Print how many files are inside each directory under the current one,find */ | cut -d/ -f1 | uniq -c
Find all *.$input_file_type files/directories under $source_dir with the null character as the delimiter,"find ""$source_dir"" -name ""*.$input_file_type"" -print0"
Search for the case insensitive regex expanded by $2 in all files named $1  under current directory,find . -name $1 -type f -exec grep -i $2 '{}' \;
Run svn checkout in every directory named 'needed_dir' under repository_dir/$f,find repository_dir/$f -type d -name needed_dir | xargs -r svn checkout
Find files/directories writable by group and others under the /path directory,"find /path -perm -g+w,o+w"
find all the files in the filesystem which do not belong to any group,find / -nogroup -print
List the directory paths of all file.ext files under present working directory,"find `pwd` -name ""file.ext"" -exec dirname {} \;"
Find largest file in linux with find command,"find . -type f -printf ""%s\t%p\n"" | sort -n | tail -1"
Identify CMS version/releases accross all your PHPBB installations,"find /var/www/vhosts/*/httpdocs/ -type f -wholename *includes/constants.php -exec grep -H ""PHPBB_VERSION"" {} \;"
Print a list of regular files from directory tree sort_test/ sorted with LC_COLLATE=C,find sort_test/ -type f | env -i LC_COLLATE=C sort
display all files in current folder in sorted order of depth,"find folder1/ -type f -printf ""%d\t%p\n"" | sort -n | sed -e ""s|[0-9]*\t||"""
Find command will display top 10 Big files from current directory .,find . -type f -exec ls -s {} \; |sort -n -r |head
Find .jpg files owned by user daniel in the current directory and its sub-directories.,find . -user daniel -type f -name *.jpg
Find all directories under ~/code excluding hidden directories and their subdirectories and replace all newlines with : in the output then remove the last :,find ~/code -type d | sed '/\/\\./d' | tr '\n' ':' | sed 's/:$//'
"Search all files in the current directory tree that are named ""whatever"" for ""whatever""",find . -name whatever -print | xargs grep whatever
"search for the file ""job.history"" in the folder /data/Spoolln and search for multiple patterns in the file and display the count of matched lines along with the pattern",find /data/SpoolIn -name job.history | xargs grep -o -m 1 -h 'FAIL\|ABOR' | sort | uniq -c
Find the first file/directory under current directory and quit,"find . ... -exec sh -c 'printf ""%s\n"" ""$1""; kill ""$PPID""' sh {} \;"
"search for all the "".c"" files in the folder ""/home/david"" which have been modified in the last 10 minutes",find /home/david -mmin -10 -name '*.c'
find all the files in the current folder which have the name net or comm in them,find . -regex '.*\.*'
find for a filename with multiple patterns in the current folder,"find . -name ""photo*.jpg"""
"Find files/directories with exactly read,write and execute permission for all  under /path",find /path -perm ugo+rwx
Remove all *.log files from the current directory tree,find ./ -name '*.log' | xargs rm
Search everywhere for directories named `root',find / -type d -name root
find all text files in current folder and delete all the files that have the word foo in their name,"find . -name "".txt"" | grep ""foo"" | xargs rm"
search for the regular/normal files iceweasel or thunderbird in the entire file system and exclude search in the paths /export and directories having the word Recommeded in their name,find / \ -prune -o \   \ -print 2>/dev/null
"display all the files in the current folder which hare in the sub directory trees of the folders which begin with the word ""kt"" followed by a digit",find . -path './kt[0-9] '
List all regular files from the current directory tree that were modified less than 60 minutes ago,find . -type f -mmin -60 | xargs -r ls -l
Concatenate all .txt files residing in the current directory tree,"find . -name '*.txt' -not -name ""all.txt"" | xargs cat > all.txt"
Search for 'Attached: Yes' in all regular files under '/proc/scsi' directory tree matching the path '/proc/scsi/usb-storage' and show only the matched filenames,find /proc/scsi/ -path '/proc/scsi/usb-storage*' -type f | xargs grep -l 'Attached: Yes'
Find all the *.pl files  beneath the current directory.,"find . -name ""*.pl"""
find all the files in the file system which have been modified in the last 60 minutes,find / -mmin -60
move all the files in the current folder  to temp folder and search atleast in one subfolder,"find . -mindepth 1 -print0|xargs -0 -I, mv , /tmp"
"Remove all files in and below the current directory whose names begin with ""not""",find . -name not\* | tr \\n \\0 | xargs -0 rm
Recursively finds all '*.pdf' files in a current folder and removes them without prompting.,find . -name '*.pdf' -exec rm -f {} \;
List all *.java files/directories under /home/bluher with their full paths,find /home/bluher -name \*.java
display all the directories in the folder master-,find master -type d | sort
List all *.png files/directories under /home/kibab directory,find /home/kibab -name '*.png' -exec echo '{}' ';'
"Search for ""#define"" in all files in the current directory, excluding backup files *~, *.orig, *.bak","find . -maxdepth 1 ! -regex '.*~$' ! -regex '.*\.orig$' \     ! -regex '.*\.bak$' -exec grep --color ""#define"" {} +"
display a long listing of the files in current folder which have been modified in the last 60 minutes,find . -mmin -60 -type f -exec ls -l {} +
display a list of all the files in the file system which do not belong to any user and search only in jfs and jfs2 file systems,find / -nouser \( -fstype jfs -o -fstype jfs2 \) -ls
Find the passwd file under root and one level down.,find -maxdepth 2 -name passwd
find all regular files  then display the number of occurrences of banana without lines not proper end,"find . -type f -print0| xargs -0 grep -c banana| grep -v "":0$"""
"find files in the users home directory and for each one, ask the user to confirm to delete the file.",find $HOME/. -name *.txt -ok rm {} \;
Find all directories on the system whose size is greater than 50k,find / -type d -size +50k
"delete all the files ending with ""~"" in current folder","find . -name ""*~"" -print | xargs rm"
Find all directories under current directory and set their permission to 775,find -type d exec chmod 775 {} +
Show manual page of find utility,man find
"Find all files/directories with '.xml' extension that start with 'log4j' in their names under '/cygdrive/e/MyDocs/Downloads/work/OATS Domain related/' directory tree, search for files that contain the string 'CONSOLE' in their contents, then search for the string 'ASYNC' in the matched files and display the matched lines along with their filenames","find ""/cygdrive/e/MyDocs/Downloads/work/OATS Domain related/"" -iname ""log4j*.xml"" | xargs -I % grep -ilr ""CONSOLE"" ""%"" | xargs -I % grep -H ""ASYNC"" %"
display all the regular/normal files in the current folder that are not accessed in the last 10 minutes,find . -type f -amin +10
Search the file system for regular files whose names are shorter than 25 characters,"find / -type f|egrep ""/[^/]{0,24}$"""
