bash_code,nl_command,srno
find / -iname passwd,"find all the ""passwd"" files in the entire file system",7654
split -n2 infile,"Split ""infile"" into 2 files of about equal size",7101
find -mtime +2,Look for any files that have not been modified in the last two days,22263
chgrp -R GROUP /path/to/repo,Recursively changes group ownership of everything within a '/path/to/repo' to 'GROUP'.,20019
find /etc -size +100k -size -150k,Find only files under /etc with the size of 100k-150k,8378
alias go='GOPATH=$ go',"set alias ""go"" for command 'GOPATH=$ go'",12327
"find . -type f -regex "".*\.\(jpg\|jpeg\|gif\|png\|JPG\|JPEG\|GIF\|PNG\)""",Search the current directory tree for all image files,9135
mv /path/subfolder/.* /path/,"Move all hidden files in ""/path/subfolder/"" to ""/path/""",21699
"find . -maxdepth 1 -name '*.sql' -exec ""sed -e 's/ , );/1,1);/g' '{}' | /usr/bin/mysql -D ootp"" \;","Find all *.sql files in maximum 1 level down the current directory, process it with sed and then send the output to a mysql command",20036
"find . -wholename './src/emacs' -prune , -print","start from current directory, skip the directory src/emacs and print it then skip all files and directories under it, and print the names of the other files found",22815
"ifconfig | grep -oP "".*?""",Gets IP addresses of all active network interfaces.,21322
"#!/bin/bash

authorized_modules=""module1 module2""

for module in $(lsmod | awk '{print $1}' | tail -n +2); do
    if ! echo ""$authorized_modules"" | grep -q ""$module""; then
        echo ""Unauthorized kernel module loaded: $module"" | mail -s ""Kernel Module Alert"" user@example.com
    fi

done",Create a script to monitor system kernel module loading and send an alert if any unauthorized modules are loaded.,14108
find . -size 6M,find all the files in current directory of size exactly 6MB.,9296
cd $(find . -name Subscription.java | xargs dirname),Finds file 'Subscription.java' and changes to containing folder.,19736
df --total -BT | tail -n 1,Report total file systems disk usage in 1T blocks.,23585
rm -r bin/node bin/node-waf include/node lib/node lib/pkgconfig/nodejs.pc share/man/man1/node.1,"Remove the files or directories 'bin/node', 'bin/node-waf', 'include/node', 'lib/node', 'lib/pkgconfig/nodejs.pc' and 'share/man/man1/node.1'",16758
"find ./test -printf ""././%f\n""| cpio -o -F newArch",Create an archive named newArch from the contents of ./test directory,6351
who -su | sort | uniq | column,Print unique list of who is logged in and the time of login formatted in columns,12028
"find ${FOLDER} -type f ! -name \"".*\"" -mtime -${RETENTION} | egrep -vf ${SKIP_FILE}","Find all regular files under $FOLDER directory tree that start with '"".' and end with '""' in their names and were modified in less than $RETENTION days excluding the files whose contents match one of the regular expressions defined per line in file $SKIP_FILE",21785
"find ""$topdir"" -name '*.py' -printf '%h\0' | xargs -0 -I {} find {} -mindepth 1 -maxdepth 1 -name Makefile -printf '%h\n' | sort -u",List all directories of the $topdir directory tree that contain a Makefile and at least one .py file,23000
"sed -i ""s#\\#\1/home/$/bin:~/\.local/bin:\2#"" ~/.zshrc","Run sed command ""s#\\#\1/home/$/bin:~/\.local/bin:\2#"" on ""~/.zshrc"" where ""$"" is replaced with the current user name",4672
find * -maxdepth 0,Select everything selected by * without descending into any directories,1838
cat -v /dev/urandom,"Print flow of random data, showing all non-printing characters",19454
"#!/bin/bash

threshold=""90""
memory_usage=$(redis-cli info memory | grep 'used_memory_human' | cut -d ':' -f2 | cut -d ' ' -f2 | cut -d 'M' -f1)
if [ ""$memory_usage"" -gt ""$threshold"" ]; then
    systemctl restart redis-server
fi",Create a script to monitor system Redis server status and restart Redis when memory usage exceeds a certain threshold.,2779
"rmdir ""$(dirname $(dirname $dir))""","Cuts off last two parts from the path $dir, and deletes resulted folder if empty.",22115
find -maxdepth 1 -type f -daystart -mtime -1,Find all files in maximum 1 level down the current directory that were modified less than 1 day ago from today,22670
apropos disk,Searches the manual page names and descriptions by 'disk' keyword.,50
nohup php -f 'yourscript'.php,"Run the PHP script 'yourscript.php', making it immune to SIGHUP signals.",12877
"find . -name ""core"" -exec rm -f {} \;",Delete all files  named 'core' under current directory,21978
set -e,Immediately exit the shell if a command fails,20478
actual_path=$,"Save the absolute path of the current script to variable ""SELF""",24346
find ./ -user root,Find root's files in the current directory tree,8479
su - YOUR_USER,login as user YOUR_USER,15368
"find /res/values-en-rUS /res/xml -iname '*.xml' | while read file; do grep -i ""hovering_msg"" ""$file""; done","Search the XML files from directories /res/values-en-rUS and /res/xml for string ""hovering_msg""",21763
find directory -mindepth 1 -type d -empty -delete,Delete all empty directories in minimum 1 level down the directory 'directory',10607
find / -nogroup,Find files owned by no group,19380
find . -type f -exec printf '%.0sbla\n' {} +,find all the normal/regular files in current directory and display file names with new line as delimiter,22740
find / -name '*.txt' -exec du -hc {} \;,Find all *.txt files under / and print their sizes and paths,18720
"alias memu=""ps -u $ -o pid,rss,command | awk '{print \$0}{sum+=\$2} END {print \""Total\"", sum/1024, \""MB\""}'""",Calculate the total amount of memory usage of the current user,22867
"#!/bin/bash

threshold=10

while true; do
    sar -n EDEV 1 1 | grep -w '.*[0-9]' | awk '$NF > ""$threshold"" {print $1, $NF}'
    sar -n SOCK 1 1 | grep -w '.*[0-9]' | awk '$NF > ""$threshold"" {print $1, $NF}'
    sar -n COLL 1 1 | grep -w '.*[0-9]' | awk '$NF > ""$threshold"" {print $1, $NF}'
    sleep 60

done","Create a script that monitors system network interface errors, drops, FIFO errors, and collisions and alerts if any interface exceeds a certain threshold.",1395
ln -s $file `basename $file`,"Create a symbolic link named the basename of ""$file"" to ""$file""",10408
find . -mtime +90 -type f -exec rm -f {} \;,find all the files in the current folder which have not been modified in the last 90 days and force delete them,13434
find -mindepth 2 -maxdepth 3 -name file,"Search for file ""file"" between level 2 and 3 of the directory tree",17968
"yes ""this is the text I want to add to a file""|head -200>myFile.txt","Write 200 lines of ""this is the text I want to add to a file"" to myFile.txt",9009
find /mnt/raid/upload -mtime +5 -print,Search the /mnt/raid/upload directory tree for files that have not been modified within the last 5 days,16892
"find . -name ""*.c"" | xargs -n3",List all the .c files under the current directory and below in a 3 column format,14508
find . -type f -maxdepth 1 -not -empty -print0 | xargs -0i cp /dev/null {},Truncate all non-empty regular files under the current directory,4681
tr -s ' ' < file | cut -d' ' -f4,"Print fourth column of data from text file ""file"" where columns separated by one or more whitespace.",15766
find . -name '*.js' -\! -name 'glob-for-excluded-dir' -prune,find  js file which name is not  'glob-for-excluded-dir'  under current directory.,15462
find $d -maxdepth 1 -perm -100 -type f | sed 's#.*/##',Find all files under $d directory (no sub-directories) that are executable by owner and print only their names,8517
find . -type f -print0 | xargs -0 ls -ltr | tail -n 1,Find recursively the latest modified file in the current directory,19181
"comm -2 file1.txt file2.txt | awk -F'\t' '{print (NF==2?""y"":"""")}'","Print ""y"" for each line in ""file2.txt"" found in ""file1.txt"" and a blank newline otherwise",4860
find /proc/$1/exe -printf '%l\n',"list complete path name to process associated with pid ""$1""",23697
tac file.log | awk '{ if ($1 >= 423) print; else exit; }' | tac,prints last part of a logfile since timestamp 423,22374
find /mnt/naspath -mtime 0 -print0 | du --files0-from=- -hc | tail -n1 >> /tmp/size.log,"Find all files/directories under mnt/naspath that were modified in last 24 hours, calculate the total size and redirect the result to /tmp/size.log file",21233
shopt -s direxpand,Enables shell option 'direxpand'.,3699
bind -p | grep -a forward,filter output of bind -p by regex,9919
"git ls-files | sed 's/ /\\ /g' | grep -E ""\.*"" | xargs wc -l","Counts the number of lines in each *.swift or *.mm file in a git repository, escaping any space in filename.",3452
ping -c 1 8.8.8.8 |  awk 'FNR == 2 { print $ }' | cut -d'=' -f2,"Print the ping time number only of a single request to ""8.8.8.8""",15646
find . -type f -exec sed -i 's/searc/replace/g' {} \;,find all regular files in current directory and replace the word searc to replace in them.,22259
find /var/log/ -mmin -60 -mmin +10,Find files in the /var/log folder which were modified between 60 minutes and 10 minutes ago,22888
find foo -path /tmp/foo/bar -print,"Search directory foo for files containing ""/tmp/foo/bar"" in their full names",1558
"find . | grep "".xml.bz2$""",Find all *.xml.bz2 files under current directory,23799
ls -tp | grep -v '/$' | tail -n +6 | xargs -d '\n' rm --,"Removes all files from current folder but 5 newest ones, filtering out directories from initial search.",24188
find . | grep -v '(dll|exe)$',"Search the current directory tree for files and directories whose names do not end in ""exe"" and ""dll""",21239
"find . -maxdepth 1 -name ""*.jpg"" -size -50k | xargs rm -f",Force delete all jpg files in current directory which are less than 50KB and do not search in the sub directories,22299
find / \( -name '*.txt' -o -name '*.doc' -o -size +5M \),"Find all the files in entire file system with the extensions txt or doc, as well as any file larger than 5MB in size",13486
sudo chown -R $USER /usr/local/lib/node_modules,recursively change owner of the directory /usr/local/lib/node_modules/ to the current user,16105
"find . -type f -name ""*.php""",Search the current directory for PHP files,12340
"#!/bin/bash

threshold=""10""

processes=""$(ps -eo pid,ni,args --sort=ni | grep -vE 'PID|top|ps' | tail -n 5)""

while read -r line; do
    priority=$(echo ""$line"" | awk '{print $2}')
    if [ ""$priority"" -gt ""$threshold"" ]; then
        echo ""Process with high priority detected: $line"" | mail -s ""Process Priority Alert"" user@example.com
    fi

done <<< ""$processes""",Create a script to monitor system process priority and send an alert if any process priority is abnormally high.,8404
join -t: <(sort file1) <(sort file2),Merge colon-separated information from file1 and file2 where first field of both files matches,14041
"find . -type f -name ""*.htm*"" -o -name ""*.js*"" -o -name ""*.txt""","find all the html, javascript and text files in the current folder",9299
top -p 18884 -p 18892 -p 18919,"Monitor 3 specific process IDs: 18884, 18892, and 18919",17822
comm -3 a b | sed 's/^\t//',"Print unique lines of sorted file ""a"" and ""b"" and remove leading tabs",6307
"find . -type f -name "".*"" -newer .cshrc -print",Find any hidden regular files in the current directory and its sub-directories that were modified after .cshrc was last modified.,5949
find ./ -empty -type d -delete,find all the empty directories in current folder and delete them,3950
find /var/www/vhosts/*/httpdocs -type f -iwholename “*/wp-includes/version.php” -exec grep -H “\$wp_version =” {} \;,Perform a default Plesk configuration,15200
find . -type d -name CVS -exec rm -r {} \;,"finds all directories named CVS, and deletes them and their contents.",19089
find -exec <script> {}\;,Find all files/directories under current directory and run <script> for each of them,24041
mkdir -p ./some/path,Create directorie(s) 'some/path' as required in the current directory,10425
"#!/bin/bash

user=""your_username""

groups $user",Print the list of all groups a user belongs to.,2158
"dig +trace +additional dragon-architect.com | awk 'NR==3' RS=""\n\n""","Request DNS record for  domain 'dragon-architect.com' with tracing and additional section, and extract third block of text, separated between two new lines.",14544
"mount -L WHITE /mnt/WHITE -o rw,uid=test,gid=test","Mount partition with label ""WHITE"" on ""/mnt/WHITE"" with read and write permission and have it accessible by user and group ""test""",21837
tar -xzvf backup.tar.gz,"extract ""backup.tar.gz"" with verbose output",1571
"find / -name ""*.md"" -type f -exec sh -c 'markdown ""${0}"" > ""${0%.md}.html""' {} \;",Convert all markdown files on the system to html,17149
find test -depth -type d -empty -delete,"Delete all empty directories in the ""test"" directory tree",17243
"find / -user root -iname ""*.txt""",Find all TXT files that belong to user root,7922
compress $* &,"Compresses all files listed in array $*, executing in background.",5508
pstree -apl,Prints process tree with command line arguments and process id numbers.,15293
t=$ echo ee | tee $t | foo,"Write ""ee"" to standard output of the current terminal and as input to command ""foo""",19279
find /users/tom -name '*.p[lm]' -exec grep -l -- '->get(' {} + | xargs grep -l '#hyphenate',"find all .pm, .pl files in /users/tom and search for multiple pattern in same files and display the matched file names",18819
find /path/to/dir -mindepth 1 -maxdepth 1 -type d -execdir sudo tar -zcpvf {}.tar.gz {} \;,Find all directories under /path/to/dir (no sub-directories) and archive them (with relative paths) into files with .tar.gz extension,2815
"md5=""$(md5sum ""${my_iso_file}"")""",Calculate md5 sum of file ${my_iso_file} and save it to variable 'md5',6272
"find . -name "".DS_Store"" -print0 | xargs -0 rm -rf","Removes resursively all files and folders named "".DS_Store"".",1698
find ~/code -name '.*' -prune -o -type d -printf ':%p',Find all directories under ~/code without descending into hidden directories and print them appended with :,6837
find / -nouser -o  -nogroup,Identify files that do not have a listing in the /etc/passwd or /etc/group file,15876
"cat file | grep pattern | paste -sd'~' | sed -e 's/~/"" ""/g'","Search for ""pattern"" in ""file"" and separate each line with '"" ""'",14863
find -type f -ctime +14,Search the current directory tree for regular files last changed more than 14 days ago,5752
sudo mv phantomjs-1.8.1-linux-x86_64.tar.bz2 /usr/local/share/.,"Move ""phantomjs-1.8.1-linux-x86_64.tar.bz2"" to ""/usr/local/share/"" directory",9903
find teste1 teste2 -type f -exec md5 -r {} \; | sort,"List the MD5 digest of all files under ""teste1"" and ""teste2"" sorted alphabetically",23146
"find . -type f -printf '%T@ %p\n' | sort -n | tail -10 | cut -f2- -d"" """,display all the files in the current folder along with the modification time and display file names of the last 10 modified files,10297
"pstree $ -ap | sed -n 's/.*rsync,\.*/\1/p'",Get the PID of rsync for the user that owns the process matching the pattern expanded by CID$client_id,1067
"find . -type f -maxdepth 1 -exec sed -i ""s/$P_FROM/$P_TO/g"" {} \;",Replace all matches with the regex expanded by $P_FROM with the text expanded by $P_TO in all regular files under current directory not going into subdirectories and modify the files in-place,22460
find $INTRANETDESTINATION/weekly -mtime +32 -exec rm {} \;,Delete all files under $INTRANETDESTINATION/weekly directory tree that were modified more than 32 days ago,19453
tac INPUTFILE | sed '/^Statistics |/q' | tac,print lines from last match of ^Statistics until end of file,20534
yes y | rm -ir dir1 dir2 dir3,"Answer ""y"" to any prompts in the interactive recursive removal of ""dir1"", ""dir2"", and ""dir3""",19455
file utf8.txt,Display human-readable file type description of utf8.txt,14867
find /etc -name ppp.conf,"Find files named ""ppp.conf"" in the /etc directory tree",23196
"find . -name ""*.rb"" -type f | xargs -I {} echo Hello, {} !","Find all *.rb (regular) files under current directory and print them on stdout putting the file name/path in-between two string literals 'Hello,' and '!'",2440
USERS=$(w | awk '/\/X/ {print $1}'),Finds users with X session in system and puts the result in USERS variable.,16192
find ~ -size -500b,display all the files in the home folder which are smaller than 500 bytes,12768
find . -type d -exec du -sk {} \; |  sort -n -k 1,Show directory sizes in KB and sort to give the largest at the end,22932
ssh -t SERVER 'command; bash -l',"SSH into SERVER, execute ""command,"" and start up a login shell when it completes",19400
"ps -o uid,pid,cmd|awk '{if($1==""username"" && $3==""your_command"") print $2}'|xargs kill -15","Send SIGTERM (signal 15) signal to all process whose username is ""username"" and whose command is ""your_command"".",3380
"cd ""$(grep DOWNLOAD $HOME/.config/user-dirs.dirs | cut -f 2 -d ""="" | tr ""\"""" ""\n"" | tr -d ""\n"")""",Change directory to the download directory specified in the current user's user-dirs.dirs file,22379
"#!/bin/bash

ls -l --time-style=long-iso /path/to/your/directory | awk '{print $5, $6, $7, $8, $9}'",Print the list of files in a directory with their sizes and last modified time.,17934
ldd /bin/* /usr/bin/* | sed -e '/^[^\t]/ d; s/^\t\\?\ (.*/\2/g' | sort | uniq -c,"Prints list of all libraries linked with binaries in '/bin/' and '/usr/bin/', with number of linkages for each library.",2783
find /path/to/dir ! -perm 0644 -exec chmod 0644 {} \;,keep only read access to all the files in a directory.,6233
find . | sed 's/.*/& &/',display all the files in current directory with each file name displayed twice in the same row,10805
ifconfig en0 | grep inet | grep -v inet6,Gets string with IP4 address of en0 network interface.,14187
find /mnt/naspath -mtime 0  -name .snapshot -prune -o \ | du --files0-from=- -hc | tail -n1 >> /tmp/size.log,"Find all files/directories under mnt/naspath without descending into .snapshot directory, calculate the total size and redirect the result to /tmp/size.log file",12734
find . -type d -exec chmod 755 {} \;,Find all directories under current directory and change their permission to 755,3935
"#!/bin/bash

threshold=""100""

processes=$(ps aux --sort=-%io | awk 'NR<=5{print $11}')

while read -r process; do
    io_usage=$(iotop -b -n 1 | grep ""$process"" | awk '{print $4}')
    if [ ""$io_usage"" -gt ""$threshold"" ]; then
        echo ""Process $process is performing high file system I/O: $io_usage KB/s (root user)"" | mail -s ""Root High File System I/O Process Alert"" user@example.com
    fi

done <<< ""$processes""",Create a script to monitor system root user process file system I/O and send an alert if any process exceeds a certain file system I/O threshold.,20709
find . -type f -name \*.bak -print0 | xargs -0 rm -v,Remove all *.bak files under current directory,17185
find -L /home/peter -name *~ -exec rm '{}' +,"Find all files whose names end with ""~"" in the /home/peter directory tree, following symlinks, and delete them",2040
"find . -name ""*.pyc"" | xargs -0 rm -rf",Delete all .pyc files in the current directory tree,19859
"find ./ -name doc.txt -printf ""found\n""","Find all `doc.txt' files in the current directory tree printing ""found"" for each of them",2361
pstree -p $$,Prints process tree of the current command process.,21752
df --total -BT | tail -n 1,Report total file systems disk usage in 1T blocks.,24559
find . -type f -exec md5sum {} \; > MD5SUMS,"Find all files under current directory, calculate their md5sum and print the output to MD5SUMS",23849
find / -user lal -exec chown ravi {} \;,Find all files which belong to user lal and change their ownership to ravi,5568
find /home/user/demo -type f -perm 777 -print -exec chmod 755 {} \;,"change the permission of all the normal/regular files from 777 to 755 in the folder ""/home/user/demo""",1965
find /home/baumerf/public_html/ -mmin -60 -not -name \*.log,Find all files/directories under /home/baumerf/public_html/ that were modified less than 60 minutes ago excluding *.log files/directories,17322
"#!/bin/bash

log_dir=""/var/log""
max_size=""1G""

for file in $log_dir/*; do
    if [ -f ""$file"" ] && [ $(du -b ""$file"" | awk '{print $1}') -gt $(numfmt --from=iec ""$max_size"") ]; then
        mv ""$file"" ""$file.old""
        touch ""$file""
    fi

done",Create a script to monitor system log file sizes and rotate logs if they exceed a certain size.,11552
"find /home/user/workspace -mindepth 1 -maxdepth 1 -type d -mtime +30 -printf ""\t- It seems that %p wasn't modified during last 30 day\n""",Find directories that are directly under /home/user/workspace directory (no-subdirectories) and were modified more than 30 days ago and print a message saying that the directory wasn't modified during last 30 days,5016
find . | cpio -pdumv /path/to/destination/dir,"Copy the current directory tree to '/path/to/destination/dir' preserving permissions, timestamp and ownership",9432
find .,"Find all files, folders, symlinks, etc in the current directory recursively",21554
"find /home/feeds/data -type f -not -path ""*def/incoming*"" -not -path ""*456/incoming*""",Find all files under /home/feeds/data without descending into *def/incoming* and *456/incoming* paths,11725
grep -e TEXT *.log | cut -d' ' --complement -s -f1,Finds strings with 'TEXT' from *.log files and prints all but first field from any space-delimited string.,12017
"#!/bin/bash

mysqldump -u username -p password --all-databases > backup.sql
echo ""MySQL databases backed up.""",Create a script to backup MySQL databases.,6670
"echo `date +""%a %x %X""` `hostname`","Print the date formatted with ""%a %x %X"" followed by the host name",8589
find /Users -type d -iname '*.bak' -print0 | xargs -0 rmdir,Removes all empty folders that ends with any-cased '*.bak' under '/Users/' path.,13111
chown -R :daemon /tmp/php_session,"Recursively change the group of all files in ""/tmp/php_session"" to ""daemon""",24309
"perl -ple '' `find . -name ""file*""`",Print the contents of all file* files under current directory,13315
"history | awk '{sub($1, """", $0); sub(/^[ \t]+/, """", $0); print}'",Print history with the first field removed,18404
"#!/bin/bash

year=2024
if [ $((year % 4)) -eq 0 ] && [ $((year % 100)) -ne 0 ] || [ $((year % 400)) -eq 0 ]; then
    echo ""$year is a leap year""
else
    echo ""$year is not a leap year""
fi",Create a script to check if a given year is a leap year or not.,5674
"rsync --iconv=UTF-8-MAC,UTF-8 /Users/username/path/on/machine/ 'username@server.ip.address.here:/home/username/path/on/server/'","Copy ""/Users/username/path/on/machine/"" to ""username@server.ip.address.here:/home/username/path/on/server/"" and convert encoding from UTF-8-MAC to UTF-8",22130
$(dirname $),Prints path to the folder that contains target of symbolic link ../../../../etc/passwd.,14842
find . -type f \( -iname “*.c” \) |grep -i “keyword”,"Find all C source code files from the current directory tree that contain ""keyword"" in their pathnames, ignoring the case",5289
history -w,Update the history file in the current session,18412
find -print0 | sort -z | cpio -pdv0 ../new,"Copy all files and directories under the current directory into ""../new"" preserving relative paths",3288
find your/dir -prune -empty -type d,Print your/dir if it's an empty directory,21408
mv -t target file1 file2 ...,"Move ""file1"", ""file2"", ""..."" to ""target"" directory",11644
ssh -i keyfile.rsa -T -N -L 16379:localhost:6379 someuser@somehost,"Create a local SSH tunnel from ""localhost"" port 16379 to ""localhost"" port 6379 using key ""keyfile.rsa"" and disables the interactive shell",15643
find . -follow -iname '*.htm' -print0 | xargs -i -0 mv '{}' ~/webhome,move all the html files from current folder to another folder and if a symbolic link is found copy the original referenced file and not the link,18876
RM=`which rm`,"Save full path of command ""rm"" to variable ""RM""",13505
"find . -wholename './src/emacs' -prune , -print","start from current directory, skip the directory src/emacs and print it then skip all files and directories under it, and print the names of the other files found",11776
"find ./ -iname file_name ! -path ""./dirt to be Excluded/*""","Find all files in the current directory tree whose names are ""file_name"", except for those with pathnames matching pattern ""./dirt to be Excluded/*""",15511
"rm `du * | awk '$1 == ""0"" {print $2}'`",Find and delete all files with a used disk size of 0,16604
"source ""$( dirname ""$"" )/lib/B""","Read and execute file 'lib/B' that located in the same directory as the current script, will fail if currently running script is not in PATH.",18986
"chown --reference=file.txt -- ""$tempfile""","Copy the owner and group from ""file.txt"" to ""$tempfile""",84
find /data -type f -perm 400,Find all 400 permission files under /data directory,23579
"#!/bin/bash

while true; do
    cat /etc/passwd > /tmp/passwd_backup
    sleep 3600
    if ! cmp -s /tmp/passwd_backup /etc/passwd; then
        echo ""User accounts have been modified""
    fi
    rm -f /tmp/passwd_backup
    sleep 3600

done",Create a script that monitors system user accounts and logs any changes to the user database.,21087
find $1 -type f -name '*'$n'.txt',display all the text files in a folder,5192
"find / -name ""[Xx]*""",Find files on the system whose names begin with either x or X,23688
find -iname 'somename',"Search the current directory tree for files named ""somename"", case insensitive",1254
"find / -name ""*.core"" -print -exec rm {} \;",Find all .core files on the system starting from / and delete them,4901
"find . -type f -name ""*.*"" | awk -F. '{print $NF}' | sort -u",Print a sorted list of the extensions of the regular files from the current directory tree,14888
find / -name *.mp3 -fprint nameoffiletoprintto,Send Output From Find The Find Command To A File,18267
find / -newerct '1 minute ago' -print,returns a list of  files create time is 1 minute ago under the root directory.,10154
"find . -depth -name '* *'  | while IFS= read -r f ; do mv -i ""$f"" ""$/$"" ; done",Replace spaces with underscores in the names of all files and directories in the current directory tree,15971
"echo ""$: "" $line","Print the current date followed by "": $line""",2047
find /home -user <usernmae> -print,find all the files in the home folder that belong to a specific user,9734
find . -name \*.c -print,"display all the "".c"" files in the current directory",17743
ln -nsf $lastModified $SYMLINK_PATH,"Force create a symbolic link without dereferencing named ""$SYMLINK_PATH"" to ""$lastModified""",24246
find .  -type f  -exec ls -lrt {} \; |awk -F' ' '{print $9}',"find all file name in curent directory ,  -exec will file all file output  awk used here for print only file name .",14804
touch -r A B,Set the timestamp of B to the same one as A,20487
"#!/bin/bash

threshold=100

while true; do
    netstat -s | awk '/passive connections/ && $1 > ""$threshold"" {print $1}'
    sleep 60

done",Create a script that monitors system network interface TCP passive connections and alerts if any interface exceeds a certain threshold.,13573
find /home/user1 -name '*.txt' | xargs cp -av --target-directory=/home/backup/ --parents,"search for text files in the directory ""/home/user1"" and copy them to the directory /home/backup",15192
which python2.7,"Print full path of command ""python2.7""",6124
watch -n 1 --color 'python -m unittest discover 2>&1 | pyrg',Execute 'python -m unittest discover 2>&1 | pyrg' every second and display with color support,20485
pstree --show-parents -p $$ | head -n 1 | sed 's/\(.*\)+.*/\1/' | wc -l,Check if current shell is running within a 'screen' process.,19376
pass=$,Generate a random 32 ASCII character password from /dev/urandom and save it to variable 'pass',21790
yum remove subversion,Removes 'subversion' packages from system.,14586
shopt -s nullglob extglob,Sets shell options 'extglob' and 'nullglob'.,4117
find .*,Find all files/directories in the paths expanded by the glob pattern '.*',3060
find . -name SCCS -prune -o -print,Print pathnames of all files in the current directory and below skipping directories named SCCS and files in them,14751
tail -r myfile.txt,"Reverse the order of lines in ""myfile.txt"" using BSD ""tail"" command",23942
"find . -name ""*.cpp"" -exec dirname {} \; | sort -u",search for al cpp files in current folder and display unique parent directory of these files in sorted order,5032
find -name foo.txt -execdir vim '{}' ';',search for the file foo.txt in the current folder and open it in vi editor,12368
cat `/gnuwin32/bin/find.exe . -name *.php` | wc -l,Counts total line number of all *.php file in a current folder and subfolders.,10169
tac $FILE | grep -m 1 '.',prints the last non-empty line of a file,18004
"#!/bin/bash

for file in *.pdf; do
    pdftotext ""$file""
done
echo ""Text extracted from PDF files.""",Create a script to extract text from PDF files in a directory.,3580
"find . -type f -exec grep ""example"" '{}' \; -print",Search for 'example' in all regular files under current directory tree and also print the filenames,6742
"fold -w79 yourfile | sed -e :a -e 's/^.\{0,78\}$/& /;ta'","Wrap each line in ""yourfile"" to fit in 79 characters and right pad any lines shorter with spaces",15611
diff -dbU0 a b | tail -n +4 | grep ^- | cut -c2-,"Print a minimal set of differences between files in directories ""a"" and ""b"", ignore the first 3 lines of output, and print any line starting with ""-"" with the first character removed",20092
find . -empty,display all the empty files in the current folder,13470
zless MyFile,Lists content of compressed text file.,8239
find /home/www/ -type f -exec sed -i 's/subdomainA\.example.com/subdomainB.example.com/g' {} +,"Replace all occurrence of ""subdomainA.example.com"" with ""subdomainB.example.com"" in all files under /home/www and below",18247
"find / -name ""*.old"" -delete",Search the entire file hierarchy for files ending in '.old' and delete them.,17662
find /path/to/dir ! -perm 0644 -exec chmod 0644 {} \;,Change permissions to 644 for all regular files under the /path/to/dir/ tree unless these permissions are already set,18125
find .,display all the files in the current folder,9062
"find $d -name '*.js' | grep -v "" """,Find all .js files in the $d directory tree whose pathnames do not contain whitespaces,14740
find . -name '*.js' | grep -v excludeddir,Exclude directory from find . command,9333
who am i|awk '{ print $5}',Print the IP address of your SSH session,14991
find / -newerct '1 minute ago' -print,Print the list of files changed within the last minute,3985
find . -regex filename-regex.\*\.html -exec grep -H string-to-find {} \;,Search for 'string-to-find' in all files under current directory tree matching the regex 'filename-regex.\*\.html' in their paths and show the matched lines along with the filenames,4753
"find . -name ""*.rb"" -type f | xargs -I {} echo Hello, {} !","Find all *.rb  files under current directory and print them on stdout putting the file name/path in-between two string literals 'Hello,' and '!'",13271
dir=$(dirname $),"Save the directory of the full path to the current script in variable ""dir""",18503
"find / \! -name ""*.c"" -print",List all *.c files in entire file system,20598
"alias rm5g=""find / -type f -name *.tar -size +5G -exec rm -i {} \;""",Assign the alias rm5g to a find command that removes any .tar file larger than 5 gigabytes.,2090
cat submission.cpp | astyle -bj | cpp - | md5sum,"Calculate the md5 sum of ""submission.cpp"" with less sensitivity to superficial changes like comments or whitespace",17299
"find . -name ""*.txt"" -exec egrep mystring {} \;",Search for 'mystring' in all *.txt files under current directory,17329
"#!/bin/bash

file_path=""/path/to/your/file.txt""

wc -w ""$file_path""",Print the number of words in a file.,6016
find . -ctime 1 -type f,find all the files that have been changed exactly 24 hours ago,9530
false,Returns exit code 1.,6648
"find `pwd` -name ""*.log"" -exec grep ""The SAS System"" {} \;","Search the .log files in the current directory tree for string ""The SAS System""",10382
diff dir1.txt dir2.txt,Display differences between files dir1.txt and dir2.txt.,20152
"find /etc -name ""*.txt"" -exec ls -l {} \;",List all *.txt files/directories under /etc,4472
"find . -maxdepth 1 -name ""*.jpg"" -size -50k | xargs echo rm -f",display the commands to force delete all jpg files in current directory which are less than 50KB and do not search in the sub directories,14266
ssh -p 22 myName@hostname,"SSH into ""hostname"" on port 22 as user ""myName""",19286
"find . -name ""*.txt"" | xargs -o vim",Find all .txt files in the current directory tree on a BSD system and edit them with `vim',17907
find folder1 folder2 -iname '*.txt' -print0 | du --files0-from - -c -s | tail -1,Measure the disk space taken up by all *.txt files in directory trees folder1 and folder2,4070
find . -type f -ls,Print a detailed list of all regular files from the current directory tree,17244
find foo -name Headers,Search directory tree `foo' for files named `Headers',18948
ps -p $$ | tail -1 | awk '{print $NF}',Print the current shell,16927
find folder -type f -exec gzip -9 {} \; -exec mv {}.gz {} \;,Compress every file in the current directory tree with gzip and keep file extensions the same,22444
find $dir_name -size $sizeFile -printf '%M %n %u %g %s %Tb %Td %Tk:%TM %p\n',List all files/directories under $dir_name with size $sizeFile and print them according to the format string  '%M %n %u %g %s %Tb %Td %Tk:%TM %p\n',19852
