nl_cmd
"allow read for user, read for group, and read for others on file <file-name>"," chmod 444 <file-name>"
"assign execute permission to user, write permission to group, and execute permission to others for <file-name>"," chmod 121 <file-name>"
"assign execute permission to user, write permission to group, and execute permission to others for <directory-name>","chmod 121 <directory-name>"
"assign execute permission to user, write permission to group, and execute permission to others for <directory-name>","chmod 121 <directory-name>"
"provide execute for user, write to group, and read and write to others for <file-name>"," chmod 126 <file-name>"
"assign execute permission to user, write permission to group, and read and write permission to others for <directory-name>","chmod 126 <directory-name>"
"set permissions to execute for owner, write for group members, and read and write for others on <directory-name>","chmod 126 <directory-name>"
"grant execute access for user, write for group, and read and execute to others for <file-name>"," chmod 125 <file-name>"
"allow execute for user, write for group, and read and execute for others on directory/folder <directory-name>","chmod 125 <directory-name>"
"set permissions to execute for owner, write for group members, and read and execute for others on <directory-name>","chmod 125 <directory-name>"
"set permissions to execute for owner, write for group members, and write and execute for others on <file-name>"," chmod 123 <file-name>"
"grant execute access for user, write for group, and write and execute to others for <directory-name>","chmod 123 <directory-name>"
"allow execute for user, write for group, and write and execute for others on directory/folder and its sub-contents <directory-name>","chmod 123 <directory-name>"
"provide execute for user, write to group, and all to others for <file-name>"," chmod 127 <file-name>"
"allow execute for user, write for group, and all for others on directory/folder <directory-name>","chmod 127 <directory-name>"
"provide execute for user, write to group, and all to others for <directory-name>","chmod 127 <directory-name>"
"allow execute for user, write for group, and none for others on file <file-name>"," chmod 120 <file-name>"
"provide execute for user, write to group, and none to others for <directory-name>","chmod 120 <directory-name>"
"grant execute access for user, write for group, and none to others for <directory-name>","chmod 120 <directory-name>"
"set permissions to execute for owner, execute for group members, and read for others on <file-name>"," chmod 114 <file-name>"
"grant execute access for user, execute for group, and read to others for <directory-name>","chmod 114 <directory-name>"
"grant execute access for user, execute for group, and read to others for <directory-name>","chmod 114 <directory-name>"
"assign execute permission to user, execute permission to group, and write permission to others for <file-name>"," chmod 112 <file-name>"
"grant execute access for user, execute for group, and write to others for <directory-name>","chmod 112 <directory-name>"
"grant execute access for user, execute for group, and write to others for <directory-name>","chmod 112 <directory-name>"
"assign execute permission to user, execute permission to group, and execute permission to others for <file-name>"," chmod 111 <file-name>"
"provide execute for user, execute to group, and execute to others for <directory-name>","chmod 111 <directory-name>"
"grant execute access for user, execute for group, and execute to others for <directory-name>","chmod 111 <directory-name>"
"allow execute for user, execute for group, and read and write for others on file <file-name>"," chmod 116 <file-name>"
"assign execute permission to user, execute permission to group, and read and write permission to others for <directory-name>","chmod 116 <directory-name>"
"provide execute for user, execute to group, and read and write to others for <directory-name>","chmod 116 <directory-name>"
"grant execute access for user, execute for group, and read and execute to others for <file-name>"," chmod 115 <file-name>"
"set permissions to execute for owner, execute for group members, and read and execute for others on <directory-name>","chmod 115 <directory-name>"
"grant execute access for user, execute for group, and read and execute to others for <directory-name>","chmod 115 <directory-name>"
"provide execute for user, execute to group, and write and execute to others for <file-name>"," chmod 113 <file-name>"
"allow execute for user, execute for group, and write and execute for others on directory/folder <directory-name>","chmod 113 <directory-name>"
"assign execute permission to user, execute permission to group, and write and execute permission to others for <directory-name>","chmod 113 <directory-name>"
"grant execute access for user, execute for group, and all to others for <file-name>"," chmod 117 <file-name>"
"provide execute for user, execute to group, and all to others for <directory-name>","chmod 117 <directory-name>"
"set permissions to execute for owner, execute for group members, and all for others on <directory-name>","chmod 117 <directory-name>"
"grant execute access for user, execute for group, and none to others for <file-name>"," chmod 110 <file-name>"
"grant execute access for user, execute for group, and none to others for <directory-name>","chmod 110 <directory-name>"
"set permissions to execute for owner, execute for group members, and none for others on <directory-name>","chmod 110 <directory-name>"
"assign execute permission to user, read and write permission to group, and read permission to others for <file-name>"," chmod 164 <file-name>"
"set permissions to execute for owner, read and write for group members, and read for others on <directory-name>","chmod 164 <directory-name>"
"set permissions to execute for owner, read and write for group members, and read for others on <directory-name>","chmod 164 <directory-name>"
"provide execute for user, read and write to group, and write to others for <file-name>"," chmod 162 <file-name>"
"assign execute permission to user, read and write permission to group, and write permission to others for <directory-name>","chmod 162 <directory-name>"
"grant execute access for user, read and write for group, and write to others for <directory-name>","chmod 162 <directory-name>"
"assign execute permission to user, read and write permission to group, and execute permission to others for <file-name>"," chmod 161 <file-name>"
"set permissions to execute for owner, read and write for group members, and execute for others on <directory-name>","chmod 161 <directory-name>"
"assign execute permission to user, read and write permission to group, and execute permission to others for <directory-name>","chmod 161 <directory-name>"
"allow execute for user, read and write for group, and read and write for others on file <file-name>"," chmod 166 <file-name>"
"set permissions to execute for owner, read and write for group members, and read and write for others on <directory-name>","chmod 166 <directory-name>"
"set permissions to execute for owner, read and write for group members, and read and write for others on <directory-name>","chmod 166 <directory-name>"
"provide execute for user, read and write to group, and read and execute to others for <file-name>"," chmod 165 <file-name>"
"grant execute access for user, read and write for group, and read and execute to others for <directory-name>","chmod 165 <directory-name>"
"grant execute access for user, read and write for group, and read and execute to others for <directory-name>","chmod 165 <directory-name>"
"assign execute permission to user, read and write permission to group, and write and execute permission to others for <file-name>"," chmod 163 <file-name>"
"set permissions to execute for owner, read and write for group members, and write and execute for others on <directory-name>","chmod 163 <directory-name>"
"set permissions to execute for owner, read and write for group members, and write and execute for others on <directory-name>","chmod 163 <directory-name>"
"allow execute for user, read and write for group, and all for others on file <file-name>"," chmod 167 <file-name>"
"set permissions to execute for owner, read and write for group members, and all for others on <directory-name>","chmod 167 <directory-name>"
"assign execute permission to user, read and write permission to group, and all permission to others for <directory-name>","chmod 167 <directory-name>"
"set permissions to execute for owner, read and write for group members, and none for others on <file-name>"," chmod 160 <file-name>"
"provide execute for user, read and write to group, and none to others for <directory-name>","chmod 160 <directory-name>"
"assign execute permission to user, read and write permission to group, and none permission to others for <directory-name>","chmod 160 <directory-name>"
"set permissions to execute for owner, read and execute for group members, and read for others on <file-name>"," chmod 154 <file-name>"
"set permissions to execute for owner, read and execute for group members, and read for others on <directory-name>","chmod 154 <directory-name>"
"provide execute for user, read and execute to group, and read to others for <directory-name>","chmod 154 <directory-name>"
"provide execute for user, read and execute to group, and write to others for <file-name>"," chmod 152 <file-name>"
"allow execute for user, read and execute for group, and write for others on directory/folder <directory-name>","chmod 152 <directory-name>"
"grant execute access for user, read and execute for group, and write to others for <directory-name>","chmod 152 <directory-name>"
"set permissions to execute for owner, read and execute for group members, and execute for others on <file-name>"," chmod 151 <file-name>"
"provide execute for user, read and execute to group, and execute to others for <directory-name>","chmod 151 <directory-name>"
"set permissions to execute for owner, read and execute for group members, and execute for others on <directory-name>","chmod 151 <directory-name>"
"assign execute permission to user, read and execute permission to group, and read and write permission to others for <file-name>"," chmod 156 <file-name>"
"allow execute for user, read and execute for group, and read and write for others on directory/folder <directory-name>","chmod 156 <directory-name>"
"provide execute for user, read and execute to group, and read and write to others for <directory-name>","chmod 156 <directory-name>"
"assign execute permission to user, read and execute permission to group, and read and execute permission to others for <file-name>"," chmod 155 <file-name>"
"grant execute access for user, read and execute for group, and read and execute to others for <directory-name>","chmod 155 <directory-name>"
"assign execute permission to user, read and execute permission to group, and read and execute permission to others for <directory-name>","chmod 155 <directory-name>"
"allow execute for user, read and execute for group, and write and execute for others on file <file-name>"," chmod 153 <file-name>"
"assign execute permission to user, read and execute permission to group, and write and execute permission to others for <directory-name>","chmod 153 <directory-name>"
"provide execute for user, read and execute to group, and write and execute to others for <directory-name>","chmod 153 <directory-name>"
"set permissions to execute for owner, read and execute for group members, and all for others on <file-name>"," chmod 157 <file-name>"
"grant execute access for user, read and execute for group, and all to others for <directory-name>","chmod 157 <directory-name>"
"grant execute access for user, read and execute for group, and all to others for <directory-name>","chmod 157 <directory-name>"
"set permissions to execute for owner, read and execute for group members, and none for others on <file-name>"," chmod 150 <file-name>"
"provide execute for user, read and execute to group, and none to others for <directory-name>","chmod 150 <directory-name>"
"set permissions to execute for owner, read and execute for group members, and none for others on <directory-name>","chmod 150 <directory-name>"
"allow execute for user, write and execute for group, and read for others on file <file-name>"," chmod 134 <file-name>"
"allow execute for user, write and execute for group, and read for others on directory/folder <directory-name>","chmod 134 <directory-name>"
"grant execute access for user, write and execute for group, and read to others for <directory-name>","chmod 134 <directory-name>"
"grant execute access for user, write and execute for group, and write to others for <file-name>"," chmod 132 <file-name>"
"allow execute for user, write and execute for group, and write for others on directory/folder <directory-name>","chmod 132 <directory-name>"
"provide execute for user, write and execute to group, and write to others for <directory-name>","chmod 132 <directory-name>"
"set permissions to execute for owner, write and execute for group members, and execute for others on <file-name>"," chmod 131 <file-name>"
"assign execute permission to user, write and execute permission to group, and execute permission to others for <directory-name>","chmod 131 <directory-name>"
"provide execute for user, write and execute to group, and execute to others for <directory-name>","chmod 131 <directory-name>"
"assign execute permission to user, write and execute permission to group, and read and write permission to others for <file-name>"," chmod 136 <file-name>"
"provide execute for user, write and execute to group, and read and write to others for <directory-name>","chmod 136 <directory-name>"
"grant execute access for user, write and execute for group, and read and write to others for <directory-name>","chmod 136 <directory-name>"
"provide execute for user, write and execute to group, and read and execute to others for <file-name>"," chmod 135 <file-name>"
"grant execute access for user, write and execute for group, and read and execute to others for <directory-name>","chmod 135 <directory-name>"
"provide execute for user, write and execute to group, and read and execute to others for <directory-name>","chmod 135 <directory-name>"
"grant execute access for user, write and execute for group, and write and execute to others for <file-name>"," chmod 133 <file-name>"
"provide execute for user, write and execute to group, and write and execute to others for <directory-name>","chmod 133 <directory-name>"
"provide execute for user, write and execute to group, and write and execute to others for <directory-name>","chmod 133 <directory-name>"
"grant execute access for user, write and execute for group, and all to others for <file-name>"," chmod 137 <file-name>"
"set permissions to execute for owner, write and execute for group members, and all for others on <directory-name>","chmod 137 <directory-name>"
"allow execute for user, write and execute for group, and all for others on directory/folder and its sub-contents <directory-name>","chmod 137 <directory-name>"
"provide execute for user, write and execute to group, and none to others for <file-name>"," chmod 130 <file-name>"
"provide execute for user, write and execute to group, and none to others for <directory-name>","chmod 130 <directory-name>"
"allow execute for user, write and execute for group, and none for others on directory/folder and its sub-contents <directory-name>","chmod 130 <directory-name>"
"provide execute for user, all to group, and read to others for <file-name>"," chmod 174 <file-name>"
"assign execute permission to user, all permission to group, and read permission to others for <directory-name>","chmod 174 <directory-name>"
"set permissions to execute for owner, all for group members, and read for others on <directory-name>","chmod 174 <directory-name>"
"provide execute for user, all to group, and write to others for <file-name>"," chmod 172 <file-name>"
"provide execute for user, all to group, and write to others for <directory-name>","chmod 172 <directory-name>"
"grant execute access for user, all for group, and write to others for <directory-name>","chmod 172 <directory-name>"
"provide execute for user, all to group, and execute to others for <file-name>"," chmod 171 <file-name>"
"provide execute for user, all to group, and execute to others for <directory-name>","chmod 171 <directory-name>"
"provide execute for user, all to group, and execute to others for <directory-name>","chmod 171 <directory-name>"
"set permissions to execute for owner, all for group members, and read and write for others on <file-name>"," chmod 176 <file-name>"
"provide execute for user, all to group, and read and write to others for <directory-name>","chmod 176 <directory-name>"
"grant execute access for user, all for group, and read and write to others for <directory-name>","chmod 176 <directory-name>"
"grant execute access for user, all for group, and read and execute to others for <file-name>"," chmod 175 <file-name>"
"assign execute permission to user, all permission to group, and read and execute permission to others for <directory-name>","chmod 175 <directory-name>"
"provide execute for user, all to group, and read and execute to others for <directory-name>","chmod 175 <directory-name>"
"grant execute access for user, all for group, and write and execute to others for <file-name>"," chmod 173 <file-name>"
"provide execute for user, all to group, and write and execute to others for <directory-name>","chmod 173 <directory-name>"
"provide execute for user, all to group, and write and execute to others for <directory-name>","chmod 173 <directory-name>"
"provide execute for user, all to group, and all to others for <file-name>"," chmod 177 <file-name>"
"assign execute permission to user, all permission to group, and all permission to others for <directory-name>","chmod 177 <directory-name>"
"allow execute for user, all for group, and all for others on directory/folder and its sub-contents <directory-name>","chmod 177 <directory-name>"
"assign execute permission to user, all permission to group, and none permission to others for <file-name>"," chmod 170 <file-name>"
"allow execute for user, all for group, and none for others on directory/folder <directory-name>","chmod 170 <directory-name>"
"grant execute access for user, all for group, and none to others for <directory-name>","chmod 170 <directory-name>"
"set permissions to execute for owner, none for group members, and read for others on <file-name>"," chmod 104 <file-name>"
"allow execute for user, none for group, and read for others on directory/folder <directory-name>","chmod 104 <directory-name>"
"set permissions to execute for owner, none for group members, and read for others on <directory-name>","chmod 104 <directory-name>"
"provide execute for user, none to group, and write to others for <file-name>"," chmod 102 <file-name>"
"set permissions to execute for owner, none for group members, and write for others on <directory-name>","chmod 102 <directory-name>"
"assign execute permission to user, none permission to group, and write permission to others for <directory-name>","chmod 102 <directory-name>"
"assign execute permission to user, none permission to group, and execute permission to others for <file-name>"," chmod 101 <file-name>"
"assign execute permission to user, none permission to group, and execute permission to others for <directory-name>","chmod 101 <directory-name>"
"assign execute permission to user, none permission to group, and execute permission to others for <directory-name>","chmod 101 <directory-name>"
"set permissions to execute for owner, none for group members, and read and write for others on <file-name>"," chmod 106 <file-name>"
"set permissions to execute for owner, none for group members, and read and write for others on <directory-name>","chmod 106 <directory-name>"
"provide execute for user, none to group, and read and write to others for <directory-name>","chmod 106 <directory-name>"
"provide execute for user, none to group, and read and execute to others for <file-name>"," chmod 105 <file-name>"
"provide execute for user, none to group, and read and execute to others for <directory-name>","chmod 105 <directory-name>"
"assign execute permission to user, none permission to group, and read and execute permission to others for <directory-name>","chmod 105 <directory-name>"
"provide execute for user, none to group, and write and execute to others for <file-name>"," chmod 103 <file-name>"
"allow execute for user, none for group, and write and execute for others on directory/folder <directory-name>","chmod 103 <directory-name>"
"assign execute permission to user, none permission to group, and write and execute permission to others for <directory-name>","chmod 103 <directory-name>"
"grant execute access for user, none for group, and all to others for <file-name>"," chmod 107 <file-name>"
"grant execute access for user, none for group, and all to others for <directory-name>","chmod 107 <directory-name>"
"assign execute permission to user, none permission to group, and all permission to others for <directory-name>","chmod 107 <directory-name>"
"set permissions to execute for owner, none for group members, and none for others on <file-name>"," chmod 100 <file-name>"
"assign execute permission to user, none permission to group, and none permission to others for <directory-name>","chmod 100 <directory-name>"
"allow execute for user, none for group, and none for others on directory/folder and its sub-contents <directory-name>","chmod 100 <directory-name>"
"set permissions to read and write for owner, read for group members, and read for others on <file-name>"," chmod 644 <file-name>"
"provide read and write for user, read to group, and read to others for <directory-name>","chmod 644 <directory-name>"
"set permissions to read and write for owner, read for group members, and read for others on <directory-name>","chmod 644 <directory-name>"
"allow read and write for user, read for group, and write for others on file <file-name>"," chmod 642 <file-name>"
"grant read and write access for user, read for group, and write to others for <directory-name>","chmod 642 <directory-name>"
"assign read and write permission to user, read permission to group, and write permission to others for <directory-name>","chmod 642 <directory-name>"
"allow read and write for user, read for group, and execute for others on file <file-name>"," chmod 641 <file-name>"
"allow read and write for user, read for group, and execute for others on directory/folder <directory-name>","chmod 641 <directory-name>"
"provide read and write for user, read to group, and execute to others for <directory-name>","chmod 641 <directory-name>"
"grant read and write access for user, read for group, and read and write to others for <file-name>"," chmod 646 <file-name>"
"assign read and write permission to user, read permission to group, and read and write permission to others for <directory-name>","chmod 646 <directory-name>"
"assign read and write permission to user, read permission to group, and read and write permission to others for <directory-name>","chmod 646 <directory-name>"
"set permissions to read and write for owner, read for group members, and read and execute for others on <file-name>"," chmod 645 <file-name>"
"assign read and write permission to user, read permission to group, and read and execute permission to others for <directory-name>","chmod 645 <directory-name>"
"set permissions to read and write for owner, read for group members, and read and execute for others on <directory-name>","chmod 645 <directory-name>"
"provide read and write for user, read to group, and write and execute to others for <file-name>"," chmod 643 <file-name>"
"set permissions to read and write for owner, read for group members, and write and execute for others on <directory-name>","chmod 643 <directory-name>"
"allow read and write for user, read for group, and write and execute for others on directory/folder and its sub-contents <directory-name>","chmod 643 <directory-name>"
"assign read and write permission to user, read permission to group, and all permission to others for <file-name>"," chmod 647 <file-name>"
"allow read and write for user, read for group, and all for others on directory/folder <directory-name>","chmod 647 <directory-name>"
"grant read and write access for user, read for group, and all to others for <directory-name>","chmod 647 <directory-name>"
"allow read and write for user, read for group, and none for others on file <file-name>"," chmod 640 <file-name>"
"grant read and write access for user, read for group, and none to others for <directory-name>","chmod 640 <directory-name>"
"assign read and write permission to user, read permission to group, and none permission to others for <directory-name>","chmod 640 <directory-name>"
"set permissions to read and write for owner, write for group members, and read for others on <file-name>"," chmod 624 <file-name>"
"provide read and write for user, write to group, and read to others for <directory-name>","chmod 624 <directory-name>"
"assign read and write permission to user, write permission to group, and read permission to others for <directory-name>","chmod 624 <directory-name>"
"grant read and write access for user, write for group, and write to others for <file-name>"," chmod 622 <file-name>"
"grant read and write access for user, write for group, and write to others for <directory-name>","chmod 622 <directory-name>"
"allow read and write for user, write for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 622 <directory-name>"
"set permissions to read and write for owner, write for group members, and execute for others on <file-name>"," chmod 621 <file-name>"
"assign read and write permission to user, write permission to group, and execute permission to others for <directory-name>","chmod 621 <directory-name>"
"set permissions to read and write for owner, write for group members, and execute for others on <directory-name>","chmod 621 <directory-name>"
"assign read and write permission to user, write permission to group, and read and write permission to others for <file-name>"," chmod 626 <file-name>"
"assign read and write permission to user, write permission to group, and read and write permission to others for <directory-name>","chmod 626 <directory-name>"
"grant read and write access for user, write for group, and read and write to others for <directory-name>","chmod 626 <directory-name>"
"grant read and write access for user, write for group, and read and execute to others for <file-name>"," chmod 625 <file-name>"
"assign read and write permission to user, write permission to group, and read and execute permission to others for <directory-name>","chmod 625 <directory-name>"
"provide read and write for user, write to group, and read and execute to others for <directory-name>","chmod 625 <directory-name>"
"set permissions to read and write for owner, write for group members, and write and execute for others on <file-name>"," chmod 623 <file-name>"
"allow read and write for user, write for group, and write and execute for others on directory/folder <directory-name>","chmod 623 <directory-name>"
"grant read and write access for user, write for group, and write and execute to others for <directory-name>","chmod 623 <directory-name>"
"allow read and write for user, write for group, and all for others on file <file-name>"," chmod 627 <file-name>"
"assign read and write permission to user, write permission to group, and all permission to others for <directory-name>","chmod 627 <directory-name>"
"assign read and write permission to user, write permission to group, and all permission to others for <directory-name>","chmod 627 <directory-name>"
"allow read and write for user, write for group, and none for others on file <file-name>"," chmod 620 <file-name>"
"grant read and write access for user, write for group, and none to others for <directory-name>","chmod 620 <directory-name>"
"assign read and write permission to user, write permission to group, and none permission to others for <directory-name>","chmod 620 <directory-name>"
"grant read and write access for user, execute for group, and read to others for <file-name>"," chmod 614 <file-name>"
"provide read and write for user, execute to group, and read to others for <directory-name>","chmod 614 <directory-name>"
"provide read and write for user, execute to group, and read to others for <directory-name>","chmod 614 <directory-name>"
"assign read and write permission to user, execute permission to group, and write permission to others for <file-name>"," chmod 612 <file-name>"
"allow read and write for user, execute for group, and write for others on directory/folder <directory-name>","chmod 612 <directory-name>"
"assign read and write permission to user, execute permission to group, and write permission to others for <directory-name>","chmod 612 <directory-name>"
"provide read and write for user, execute to group, and execute to others for <file-name>"," chmod 611 <file-name>"
"assign read and write permission to user, execute permission to group, and execute permission to others for <directory-name>","chmod 611 <directory-name>"
"allow read and write for user, execute for group, and execute for others on directory/folder and its sub-contents <directory-name>","chmod 611 <directory-name>"
"provide read and write for user, execute to group, and read and write to others for <file-name>"," chmod 616 <file-name>"
"assign read and write permission to user, execute permission to group, and read and write permission to others for <directory-name>","chmod 616 <directory-name>"
"provide read and write for user, execute to group, and read and write to others for <directory-name>","chmod 616 <directory-name>"
"grant read and write access for user, execute for group, and read and execute to others for <file-name>"," chmod 615 <file-name>"
"assign read and write permission to user, execute permission to group, and read and execute permission to others for <directory-name>","chmod 615 <directory-name>"
"assign read and write permission to user, execute permission to group, and read and execute permission to others for <directory-name>","chmod 615 <directory-name>"
"provide read and write for user, execute to group, and write and execute to others for <file-name>"," chmod 613 <file-name>"
"assign read and write permission to user, execute permission to group, and write and execute permission to others for <directory-name>","chmod 613 <directory-name>"
"provide read and write for user, execute to group, and write and execute to others for <directory-name>","chmod 613 <directory-name>"
"assign read and write permission to user, execute permission to group, and all permission to others for <file-name>"," chmod 617 <file-name>"
"assign read and write permission to user, execute permission to group, and all permission to others for <directory-name>","chmod 617 <directory-name>"
"grant read and write access for user, execute for group, and all to others for <directory-name>","chmod 617 <directory-name>"
"provide read and write for user, execute to group, and none to others for <file-name>"," chmod 610 <file-name>"
"set permissions to read and write for owner, execute for group members, and none for others on <directory-name>","chmod 610 <directory-name>"
"assign read and write permission to user, execute permission to group, and none permission to others for <directory-name>","chmod 610 <directory-name>"
"allow read and write for user, read and write for group, and read for others on file <file-name>"," chmod 664 <file-name>"
"assign read and write permission to user, read and write permission to group, and read permission to others for <directory-name>","chmod 664 <directory-name>"
"allow read and write for user, read and write for group, and read for others on directory/folder and its sub-contents <directory-name>","chmod 664 <directory-name>"
"allow read and write for user, read and write for group, and write for others on file <file-name>"," chmod 662 <file-name>"
"assign read and write permission to user, read and write permission to group, and write permission to others for <directory-name>","chmod 662 <directory-name>"
"provide read and write for user, read and write to group, and write to others for <directory-name>","chmod 662 <directory-name>"
"allow read and write for user, read and write for group, and execute for others on file <file-name>"," chmod 661 <file-name>"
"assign read and write permission to user, read and write permission to group, and execute permission to others for <directory-name>","chmod 661 <directory-name>"
"provide read and write for user, read and write to group, and execute to others for <directory-name>","chmod 661 <directory-name>"
"assign read and write permission to user, read and write permission to group, and read and write permission to others for <file-name>"," chmod 666 <file-name>"
"set permissions to read and write for owner, read and write for group members, and read and write for others on <directory-name>","chmod 666 <directory-name>"
"grant read and write access for user, read and write for group, and read and write to others for <directory-name>","chmod 666 <directory-name>"
"set permissions to read and write for owner, read and write for group members, and read and execute for others on <file-name>"," chmod 665 <file-name>"
"provide read and write for user, read and write to group, and read and execute to others for <directory-name>","chmod 665 <directory-name>"
"provide read and write for user, read and write to group, and read and execute to others for <directory-name>","chmod 665 <directory-name>"
"assign read and write permission to user, read and write permission to group, and write and execute permission to others for <file-name>"," chmod 663 <file-name>"
"assign read and write permission to user, read and write permission to group, and write and execute permission to others for <directory-name>","chmod 663 <directory-name>"
"grant read and write access for user, read and write for group, and write and execute to others for <directory-name>","chmod 663 <directory-name>"
"provide read and write for user, read and write to group, and all to others for <file-name>"," chmod 667 <file-name>"
"provide read and write for user, read and write to group, and all to others for <directory-name>","chmod 667 <directory-name>"
"grant read and write access for user, read and write for group, and all to others for <directory-name>","chmod 667 <directory-name>"
"assign read and write permission to user, read and write permission to group, and none permission to others for <file-name>"," chmod 660 <file-name>"
"assign read and write permission to user, read and write permission to group, and none permission to others for <directory-name>","chmod 660 <directory-name>"
"set permissions to read and write for owner, read and write for group members, and none for others on <directory-name>","chmod 660 <directory-name>"
"grant read and write access for user, read and execute for group, and read to others for <file-name>"," chmod 654 <file-name>"
"grant read and write access for user, read and execute for group, and read to others for <directory-name>","chmod 654 <directory-name>"
"provide read and write for user, read and execute to group, and read to others for <directory-name>","chmod 654 <directory-name>"
"set permissions to read and write for owner, read and execute for group members, and write for others on <file-name>"," chmod 652 <file-name>"
"set permissions to read and write for owner, read and execute for group members, and write for others on <directory-name>","chmod 652 <directory-name>"
"provide read and write for user, read and execute to group, and write to others for <directory-name>","chmod 652 <directory-name>"
"provide read and write for user, read and execute to group, and execute to others for <file-name>"," chmod 651 <file-name>"
"allow read and write for user, read and execute for group, and execute for others on directory/folder <directory-name>","chmod 651 <directory-name>"
"assign read and write permission to user, read and execute permission to group, and execute permission to others for <directory-name>","chmod 651 <directory-name>"
"set permissions to read and write for owner, read and execute for group members, and read and write for others on <file-name>"," chmod 656 <file-name>"
"assign read and write permission to user, read and execute permission to group, and read and write permission to others for <directory-name>","chmod 656 <directory-name>"
"provide read and write for user, read and execute to group, and read and write to others for <directory-name>","chmod 656 <directory-name>"
"set permissions to read and write for owner, read and execute for group members, and read and execute for others on <file-name>"," chmod 655 <file-name>"
"grant read and write access for user, read and execute for group, and read and execute to others for <directory-name>","chmod 655 <directory-name>"
"set permissions to read and write for owner, read and execute for group members, and read and execute for others on <directory-name>","chmod 655 <directory-name>"
"set permissions to read and write for owner, read and execute for group members, and write and execute for others on <file-name>"," chmod 653 <file-name>"
"provide read and write for user, read and execute to group, and write and execute to others for <directory-name>","chmod 653 <directory-name>"
"provide read and write for user, read and execute to group, and write and execute to others for <directory-name>","chmod 653 <directory-name>"
"grant read and write access for user, read and execute for group, and all to others for <file-name>"," chmod 657 <file-name>"
"grant read and write access for user, read and execute for group, and all to others for <directory-name>","chmod 657 <directory-name>"
"provide read and write for user, read and execute to group, and all to others for <directory-name>","chmod 657 <directory-name>"
"allow read and write for user, read and execute for group, and none for others on file <file-name>"," chmod 650 <file-name>"
"allow read and write for user, read and execute for group, and none for others on directory/folder <directory-name>","chmod 650 <directory-name>"
"grant read and write access for user, read and execute for group, and none to others for <directory-name>","chmod 650 <directory-name>"
"allow read and write for user, write and execute for group, and read for others on file <file-name>"," chmod 634 <file-name>"
"grant read and write access for user, write and execute for group, and read to others for <directory-name>","chmod 634 <directory-name>"
"allow read and write for user, write and execute for group, and read for others on directory/folder and its sub-contents <directory-name>","chmod 634 <directory-name>"
"grant read and write access for user, write and execute for group, and write to others for <file-name>"," chmod 632 <file-name>"
"provide read and write for user, write and execute to group, and write to others for <directory-name>","chmod 632 <directory-name>"
"allow read and write for user, write and execute for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 632 <directory-name>"
"set permissions to read and write for owner, write and execute for group members, and execute for others on <file-name>"," chmod 631 <file-name>"
"provide read and write for user, write and execute to group, and execute to others for <directory-name>","chmod 631 <directory-name>"
"grant read and write access for user, write and execute for group, and execute to others for <directory-name>","chmod 631 <directory-name>"
"grant read and write access for user, write and execute for group, and read and write to others for <file-name>"," chmod 636 <file-name>"
"assign read and write permission to user, write and execute permission to group, and read and write permission to others for <directory-name>","chmod 636 <directory-name>"
"grant read and write access for user, write and execute for group, and read and write to others for <directory-name>","chmod 636 <directory-name>"
"grant read and write access for user, write and execute for group, and read and execute to others for <file-name>"," chmod 635 <file-name>"
"assign read and write permission to user, write and execute permission to group, and read and execute permission to others for <directory-name>","chmod 635 <directory-name>"
"assign read and write permission to user, write and execute permission to group, and read and execute permission to others for <directory-name>","chmod 635 <directory-name>"
"provide read and write for user, write and execute to group, and write and execute to others for <file-name>"," chmod 633 <file-name>"
"allow read and write for user, write and execute for group, and write and execute for others on directory/folder <directory-name>","chmod 633 <directory-name>"
"assign read and write permission to user, write and execute permission to group, and write and execute permission to others for <directory-name>","chmod 633 <directory-name>"
"grant read and write access for user, write and execute for group, and all to others for <file-name>"," chmod 637 <file-name>"
"assign read and write permission to user, write and execute permission to group, and all permission to others for <directory-name>","chmod 637 <directory-name>"
"provide read and write for user, write and execute to group, and all to others for <directory-name>","chmod 637 <directory-name>"
"assign read and write permission to user, write and execute permission to group, and none permission to others for <file-name>"," chmod 630 <file-name>"
"set permissions to read and write for owner, write and execute for group members, and none for others on <directory-name>","chmod 630 <directory-name>"
"assign read and write permission to user, write and execute permission to group, and none permission to others for <directory-name>","chmod 630 <directory-name>"
"allow read and write for user, all for group, and read for others on file <file-name>"," chmod 674 <file-name>"
"grant read and write access for user, all for group, and read to others for <directory-name>","chmod 674 <directory-name>"
"allow read and write for user, all for group, and read for others on directory/folder and its sub-contents <directory-name>","chmod 674 <directory-name>"
"allow read and write for user, all for group, and write for others on file <file-name>"," chmod 672 <file-name>"
"set permissions to read and write for owner, all for group members, and write for others on <directory-name>","chmod 672 <directory-name>"
"allow read and write for user, all for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 672 <directory-name>"
"assign read and write permission to user, all permission to group, and execute permission to others for <file-name>"," chmod 671 <file-name>"
"provide read and write for user, all to group, and execute to others for <directory-name>","chmod 671 <directory-name>"
"set permissions to read and write for owner, all for group members, and execute for others on <directory-name>","chmod 671 <directory-name>"
"set permissions to read and write for owner, all for group members, and read and write for others on <file-name>"," chmod 676 <file-name>"
"assign read and write permission to user, all permission to group, and read and write permission to others for <directory-name>","chmod 676 <directory-name>"
